Transaction Amount,Quantity,Customer Age,Is Fraudulent,Account Age Days,Transaction Hour,Txn_Month,Txn_DayOfWeek,Txn_IsWeekend,Txn_DayOfMonth,Amount_Per_Qty,Addr_Match,User_Txn_Count,User_Avg_Amount,User_Avg_Age,Amt_UserRatio,Location_Freq,Payment Method_bank transfer,Payment Method_credit card,Payment Method_debit card,Product Category_electronics,Product Category_health & beauty,Product Category_home & garden,Product Category_toys & games,Device Used_mobile,Device Used_tablet
42.32,1,40.0,0,282,23,3,6,1,24,42.32,1,1,42.32,40.0,1.0,0.0,0,0,0,1,0,0,0,0,0
301.34,3,35.0,0,223,0,1,0,0,22,100.45,1,1,301.34,35.0,1.0,0.0,0,1,0,1,0,0,0,0,1
340.32,5,29.0,0,360,8,1,0,0,22,68.06,0,1,340.32,29.0,1.0,0.0002,0,0,1,0,0,0,1,0,0
95.77,5,45.0,0,325,20,1,1,0,16,19.15,1,1,95.77,45.0,1.0,0.0,0,1,0,1,0,0,0,1,0
77.45,5,42.0,0,116,15,1,1,0,16,15.49,1,1,77.45,42.0,1.0,0.0,0,1,0,0,0,0,0,0,0
345.27,1,35.0,0,251,13,2,3,0,22,345.27,1,1,345.27,35.0,1.0,0.0005,0,0,0,0,0,0,1,0,0
53.69,3,41.0,0,138,13,3,3,0,21,17.9,1,1,53.69,41.0,1.0,0.0001,0,0,1,0,0,0,1,1,0
636.71375,5,39.0,0,36,23,1,3,0,18,127.34,1,1,636.71,39.0,1.0,0.0001,0,0,1,1,0,0,0,0,1
126.5,4,35.0,0,188,4,2,0,0,12,31.62,1,1,126.5,35.0,1.0,0.0001,0,0,1,0,0,1,0,1,0
47.18,4,19.0,0,245,22,4,5,1,6,11.8,1,1,47.18,19.0,1.0,0.0003,1,0,0,0,0,0,1,1,0
137.74,2,24.0,0,256,12,3,3,0,21,68.87,1,1,137.74,24.0,1.0,0.0,0,0,0,0,1,0,0,1,0
141.09,1,53.0,0,205,0,3,5,1,30,141.09,1,1,141.09,53.0,1.0,0.0,0,0,0,0,1,0,0,1,0
95.13,4,51.0,0,95,19,1,3,0,25,23.78,0,1,95.13,51.0,1.0,0.0,0,1,0,1,0,0,0,1,0
260.69,5,15.0,0,158,2,2,0,0,19,52.14,0,1,260.69,15.0,1.0,0.0001,0,0,1,1,0,0,0,0,1
70.66,3,42.0,0,209,16,3,4,0,22,23.55,1,1,70.66,42.0,1.0,0.0001,0,0,1,0,0,1,0,0,1
36.12,2,39.0,0,301,14,3,1,0,26,18.06,1,1,36.12,39.0,1.0,0.0005,0,0,0,0,0,0,1,0,1
57.91,3,33.0,0,352,17,3,0,0,25,19.3,1,1,57.91,33.0,1.0,0.0001,0,0,1,0,0,1,0,1,0
10.14,1,24.0,0,347,5,2,1,0,13,10.14,1,1,10.14,24.0,1.0,0.0001,0,1,0,0,0,1,0,1,0
261.52,1,37.0,0,72,11,2,3,0,22,261.52,1,1,261.52,37.0,1.0,0.0005,0,1,0,0,0,0,1,1,0
258.23,4,41.0,0,44,22,1,6,1,14,64.56,1,1,258.23,41.0,1.0,0.0,0,0,0,0,0,0,1,0,1
438.16,1,34.0,0,118,12,2,2,0,28,438.16,1,1,438.16,34.0,1.0,0.0002,0,1,0,1,0,0,0,0,1
206.21,1,37.0,0,60,19,2,4,0,2,206.21,1,1,206.21,37.0,1.0,0.0001,0,0,1,1,0,0,0,0,0
520.27,2,18.0,0,213,2,2,1,0,6,260.14,1,1,520.27,18.0,1.0,0.0,0,0,0,0,0,0,1,1,0
412.96,2,33.0,0,211,17,3,4,0,1,206.48,1,1,412.96,33.0,1.0,0.0001,0,1,0,0,0,1,0,0,0
183.6,3,27.0,0,360,21,1,6,1,14,61.2,1,1,183.6,27.0,1.0,0.0,1,0,0,1,0,0,0,0,1
112.26,4,48.0,0,271,3,1,4,0,26,28.06,1,1,112.26,48.0,1.0,0.0,0,0,1,0,0,1,0,0,0
23.67,5,35.0,0,58,6,2,3,0,8,4.73,1,1,23.67,35.0,1.0,0.0001,1,0,0,1,0,0,0,0,0
148.94,3,45.0,0,297,0,3,5,1,16,49.65,1,1,148.94,45.0,1.0,0.0001,0,0,0,0,0,0,0,1,0
369.54,5,22.0,0,336,13,2,2,0,14,73.91,1,1,369.54,22.0,1.0,0.0003,0,0,1,0,0,0,1,0,1
530.41,5,40.0,0,341,7,2,1,0,20,106.08,1,1,530.41,40.0,1.0,0.0,0,0,1,0,0,0,0,1,0
